00000005554072,M METAL SHIELD,30,WOMEN'S ACCESSORIES,0330,EYEWEAR,3300,EYEWEAR W,21732,MARCHON EYEWEAR,120,100,WHITE,9999,01, ,,,,,
00000088734514,F OCT MESH SHOULDER DRESS,10,WOMEN'S SPORTSWEAR,0170,WOMEN'S DRESSES,1802,FALL GIII DRESSES,20502,G III LEATHER FASHIONS IN,3274,10,NEW BLACK,0,SIZE 0, ,,,,,
00002940946745,BROKEN WINDOWPANE,20,MEN'S SPORTSWEAR,0420,NECKWEAR,4201,NECKWEAR,163,PVH NECKWEAR INC,1108,1,BLACK,9999,01, ,,,,,
00011333108202,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,4523,14H 32/33, ,,,,,
00011333108219,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,5023,15 32/33, ,,,,,
00011333108226,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,5523,15H 32/33, ,,,,,
00011333108233,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,6023,16 32/33, ,,,,,
00011333108240,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,6523,16H 32/33, ,,,,,
00011333108257,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,7023,17 32/33, ,,,,,
00011333108264,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,7523,17H 32/33, ,,,,,
00011333108295,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,5045,15 34/35, ,,,,,
00011333108301,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,5545,15.5 34/35, ,,,,,
00011333108318,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,6045,16 34/35, ,,,,,
00011333108325,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,6545,16H 34/35, ,,,,,
00011333108332,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,7045,17 34/35, ,,,,,
00011333108349,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,7545,17H 34/35, ,,,,,
00011333108356,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,3001,599,BENTLEY NAVY,8045,18 34/35, ,,,,,
00011333108455,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,4523,14H 32/33, ,,,,,
00011333108462,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,5023,15 32/33, ,,,,,
00011333108479,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,5523,15H 32/33, ,,,,,
00011333108486,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,6023,16 32/33, ,,,,,
00011333108493,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,6523,16H 32/33, ,,,,,
00011333108509,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,7023,17 32/33, ,,,,,
00011333108516,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,7523,17H 32/33, ,,,,,
00011333108547,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,5045,15 34/35, ,,,,,
00011333108554,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,5545,15.5 34/35, ,,,,,
00011333108561,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,6045,16 34/35, ,,,,,
00011333108578,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,6545,16H 34/35, ,,,,,
00011333108585,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,7045,17 34/35, ,,,,,
00011333108592,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,7545,17H 34/35, ,,,,,
00011333108608,STEEL SLIM,20,MEN'S SPORTSWEAR,0225,MEN'S DRESS SHIRTS,2230,BODY DRESS SHIRTS,21936,CALVIN KLEIN DRESS SHIRTS,5238,15,VLCNC ASH/BLKWHT MINI PLD,8045,18 34/35, ,,,,,
